clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.633,0.542,0.289,0.154,0.079,0.059,0.051,0.047,0.042,0.038,0.035,0.009,0.547,0.255,0.069,0.005,0.0,0.0,0.0,0.533,0.18,0.024,0.0,0.0,0.0,0.0,0.61,0.445,0.275,0.1,0.04,0.018,0.003
0.651,0.544,0.267,0.141,0.076,0.059,0.052,0.047,0.045,0.042,0.041,0.01,0.552,0.227,0.059,0.003,0.001,0.0,0.0,0.534,0.155,0.019,0.001,0.0,0.0,0.0,0.626,0.438,0.26,0.088,0.029,0.013,0.003
0.651,0.528,0.251,0.139,0.077,0.06,0.053,0.051,0.047,0.045,0.045,0.009,0.534,0.19,0.035,0.001,0.0,0.0,0.0,0.515,0.117,0.009,0.0,0.0,0.0,0.0,0.621,0.422,0.241,0.074,0.025,0.014,0.003
0.576,0.501,0.27,0.131,0.052,0.031,0.023,0.018,0.015,0.012,0.01,0.011,0.507,0.258,0.09,0.007,0.001,0.0,0.0,0.499,0.205,0.042,0.002,0.0,0.0,0.0,0.559,0.426,0.273,0.107,0.044,0.02,0.003
0.654,0.54,0.251,0.131,0.076,0.062,0.055,0.052,0.048,0.046,0.043,0.01,0.546,0.192,0.04,0.002,0.0,0.0,0.0,0.529,0.118,0.011,0.0,0.0,0.0,0.0,0.622,0.417,0.23,0.068,0.025,0.012,0.002
0.691,0.603,0.361,0.222,0.128,0.097,0.087,0.079,0.073,0.066,0.061,0.009,0.608,0.311,0.105,0.013,0.003,0.0,0.0,0.596,0.23,0.042,0.002,0.0,0.0,0.0,0.663,0.488,0.302,0.104,0.039,0.018,0.003
0.618,0.538,0.292,0.143,0.056,0.037,0.031,0.025,0.024,0.023,0.022,0.01,0.546,0.277,0.091,0.007,0.001,0.0,0.0,0.535,0.217,0.041,0.001,0.0,0.0,0.0,0.599,0.452,0.293,0.11,0.044,0.02,0.003
0.704,0.576,0.3,0.188,0.125,0.105,0.093,0.081,0.075,0.07,0.065,0.011,0.581,0.22,0.051,0.004,0.001,0.0,0.0,0.56,0.136,0.015,0.0,0.0,0.0,0.0,0.661,0.438,0.242,0.073,0.026,0.013,0.002
0.108,0.106,0.099,0.089,0.071,0.059,0.047,0.039,0.031,0.023,0.018,0.003,0.107,0.1,0.091,0.075,0.063,0.051,0.02,0.106,0.099,0.089,0.07,0.057,0.044,0.014,0.106,0.097,0.085,0.069,0.054,0.043,0.017
0.662,0.545,0.27,0.159,0.102,0.084,0.076,0.07,0.065,0.063,0.059,0.01,0.552,0.208,0.05,0.004,0.001,0.0,0.0,0.532,0.134,0.015,0.0,0.0,0.0,0.0,0.627,0.418,0.229,0.071,0.026,0.012,0.002
0.581,0.513,0.296,0.154,0.054,0.031,0.021,0.018,0.015,0.013,0.013,0.008,0.518,0.288,0.108,0.01,0.001,0.0,0.0,0.511,0.238,0.054,0.003,0.0,0.0,0.0,0.568,0.449,0.304,0.128,0.052,0.026,0.003
0.7,0.577,0.279,0.17,0.111,0.095,0.086,0.081,0.075,0.071,0.069,0.01,0.583,0.202,0.044,0.003,0.0,0.0,0.0,0.565,0.122,0.011,0.0,0.0,0.0,0.0,0.663,0.445,0.237,0.07,0.023,0.009,0.002
0.471,0.447,0.358,0.269,0.16,0.098,0.068,0.045,0.033,0.026,0.023,0.011,0.45,0.366,0.274,0.149,0.076,0.036,0.002,0.448,0.354,0.248,0.108,0.045,0.016,0.0,0.461,0.394,0.31,0.19,0.106,0.059,0.01
0.336,0.323,0.268,0.205,0.125,0.078,0.049,0.031,0.022,0.016,0.013,0.012,0.324,0.274,0.21,0.123,0.066,0.034,0.002,0.323,0.265,0.196,0.097,0.042,0.015,0.001,0.332,0.293,0.244,0.168,0.112,0.072,0.019
0.624,0.539,0.286,0.149,0.07,0.053,0.046,0.042,0.04,0.041,0.045,0.012,0.545,0.266,0.087,0.007,0.001,0.0,0.0,0.535,0.204,0.038,0.001,0.0,0.0,0.0,0.603,0.448,0.284,0.108,0.043,0.019,0.004
0.645,0.557,0.322,0.202,0.115,0.085,0.069,0.059,0.054,0.049,0.046,0.009,0.561,0.268,0.085,0.008,0.001,0.0,0.0,0.548,0.186,0.028,0.0,0.0,0.0,0.0,0.623,0.46,0.287,0.106,0.043,0.019,0.003
0.626,0.572,0.377,0.231,0.114,0.071,0.057,0.05,0.046,0.043,0.041,0.009,0.577,0.375,0.188,0.042,0.011,0.004,0.0,0.569,0.331,0.126,0.015,0.003,0.001,0.0,0.61,0.491,0.355,0.159,0.07,0.035,0.006
0.681,0.557,0.271,0.15,0.094,0.078,0.07,0.065,0.063,0.06,0.059,0.01,0.562,0.192,0.039,0.002,0.0,0.0,0.0,0.542,0.113,0.01,0.0,0.0,0.0,0.0,0.646,0.423,0.224,0.065,0.021,0.011,0.002
0.693,0.59,0.321,0.207,0.139,0.117,0.106,0.098,0.093,0.09,0.086,0.009,0.596,0.259,0.081,0.01,0.003,0.001,0.0,0.579,0.179,0.028,0.001,0.0,0.0,0.0,0.662,0.46,0.265,0.086,0.03,0.014,0.003
