clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.384,0.261,0.087,0.044,0.031,0.028,0.026,0.02,0.019,0.018,0.017,0.006,0.266,0.05,0.007,0.0,0.0,0.0,0.0,0.246,0.02,0.001,0.0,0.0,0.0,0.0,0.294,0.085,0.022,0.006,0.002,0.001,0.0
0.363,0.252,0.07,0.025,0.018,0.018,0.019,0.017,0.016,0.016,0.016,0.009,0.257,0.045,0.005,0.0,0.0,0.0,0.0,0.241,0.019,0.001,0.0,0.0,0.0,0.0,0.28,0.073,0.018,0.006,0.002,0.001,0.0
0.425,0.278,0.084,0.041,0.031,0.027,0.023,0.021,0.02,0.02,0.018,0.009,0.282,0.042,0.005,0.0,0.0,0.0,0.0,0.258,0.017,0.0,0.0,0.0,0.0,0.0,0.305,0.081,0.017,0.005,0.003,0.002,0.0
0.42,0.284,0.088,0.049,0.039,0.035,0.029,0.03,0.029,0.027,0.026,0.008,0.285,0.041,0.005,0.0,0.0,0.0,0.0,0.262,0.018,0.0,0.0,0.0,0.0,0.0,0.307,0.077,0.022,0.005,0.003,0.001,0.0
0.384,0.26,0.078,0.036,0.025,0.027,0.024,0.021,0.02,0.017,0.016,0.008,0.263,0.044,0.006,0.0,0.0,0.0,0.0,0.246,0.018,0.001,0.0,0.0,0.0,0.0,0.289,0.078,0.022,0.004,0.002,0.002,0.001
0.385,0.284,0.095,0.041,0.022,0.02,0.021,0.019,0.02,0.02,0.018,0.007,0.289,0.067,0.011,0.001,0.0,0.0,0.0,0.276,0.037,0.003,0.0,0.0,0.0,0.0,0.304,0.094,0.025,0.005,0.002,0.001,0.0
0.381,0.255,0.081,0.042,0.032,0.03,0.025,0.021,0.017,0.015,0.014,0.01,0.26,0.044,0.004,0.0,0.0,0.0,0.0,0.243,0.019,0.0,0.0,0.0,0.0,0.0,0.278,0.068,0.017,0.004,0.002,0.002,0.0
0.345,0.26,0.079,0.029,0.011,0.011,0.012,0.014,0.015,0.016,0.016,0.008,0.266,0.064,0.01,0.0,0.0,0.0,0.0,0.255,0.037,0.002,0.0,0.0,0.0,0.0,0.281,0.096,0.024,0.006,0.002,0.002,0.0
0.341,0.225,0.058,0.024,0.022,0.022,0.021,0.017,0.017,0.017,0.017,0.009,0.23,0.029,0.002,0.0,0.0,0.0,0.0,0.213,0.013,0.0,0.0,0.0,0.0,0.0,0.274,0.068,0.02,0.004,0.003,0.001,0.001
0.344,0.239,0.077,0.037,0.021,0.018,0.019,0.019,0.018,0.017,0.016,0.008,0.243,0.054,0.006,0.0,0.0,0.0,0.0,0.23,0.027,0.001,0.0,0.0,0.0,0.0,0.271,0.082,0.025,0.007,0.003,0.001,0.0
0.162,0.148,0.102,0.066,0.027,0.014,0.01,0.008,0.006,0.005,0.005,0.007,0.15,0.108,0.068,0.024,0.011,0.005,0.0,0.148,0.098,0.056,0.017,0.005,0.001,0.0,0.151,0.105,0.062,0.022,0.009,0.004,0.0
0.32,0.23,0.072,0.038,0.024,0.024,0.024,0.02,0.018,0.016,0.014,0.008,0.235,0.052,0.008,0.0,0.0,0.0,0.0,0.219,0.026,0.002,0.0,0.0,0.0,0.0,0.259,0.082,0.023,0.006,0.003,0.002,0.001
0.439,0.294,0.092,0.046,0.039,0.034,0.035,0.029,0.025,0.023,0.023,0.007,0.298,0.048,0.005,0.0,0.0,0.0,0.0,0.272,0.016,0.001,0.0,0.0,0.0,0.0,0.326,0.082,0.02,0.006,0.003,0.002,0.0
0.392,0.255,0.077,0.036,0.023,0.028,0.023,0.021,0.019,0.019,0.015,0.009,0.259,0.047,0.006,0.0,0.0,0.0,0.0,0.242,0.019,0.0,0.0,0.0,0.0,0.0,0.293,0.082,0.024,0.006,0.003,0.002,0.001
